VEICULO;Safra;PROBLEMA;INICIO_PARADA;TERMINO_PARADA; TEMPO_PARADO ;Time_req;Time_day;y
A;2015;Aguardando;22/06/2015 07:21;22/06/2015 08:13; 0.87 ;;;
A;2015;Aguardando;24/08/2015 11:34;24/08/2015 12:04; 0.49 ;3/3;63.13967593;63
A;2015;Aguardando;25/10/2015 02:42;25/10/2015 06:22; 3.67 ;1/3;61.60990741;62
A;2015;Aguardando;27/10/2015 15:37;27/10/2015 17:14; 1.61 ;2/1;2.385613426;2
A;2016;Aguardando;10/09/2016 19:12;10/09/2016 20:49; 1.61 ;14/11;319.0820949;319
A;2016;Aguardando;12/09/2016 12:44;12/09/2016 13:05; 0.36 ;1/1;1.663240741;2
B;2015;Aguardando;08/07/2015 00:40;08/07/2015 02:21; 1.68 ;FALSE;;
B;2016;Aguardando;07/04/2016 00:49;07/04/2016 02:07; 1.29 ;29/9;273.9365162;274
B;2016;Aguardando;08/04/2016 20:04;08/04/2016 20:15; 0.18 ;1/1;1.748032407;2
B;2016;Aguardando;23/04/2016 19:07;23/04/2016 21:47; 2.67 ;14/1;14.95284722;15
B;2017;Aguardando;29/05/2017 16:27;29/05/2017 21:50; 5.39 ;3/2;400.7776157;411
A;2015;Ar Condicionado;09/04/2015 12:16;09/04/2015 14:15; 1.97 ;FALSE;;
A;2015;Ar Condicionado;30/04/2015 01:43;30/04/2015 01:55; 0.20 ;20/1;20.47805556;21
A;2015;Ar Condicionado;17/07/2015 16:06;17/07/2015 19:09; 3.04 ;18/3;78.5912963;79
A;2015;Ar Condicionado;17/07/2015 22:17;17/07/2015 22:29; 0.19 ;0/1;0.130833333;1
A;2015;Ar Condicionado;18/07/2015 14:25;18/07/2015 15:42; 1.29 ;0/1;0.663703704;1
A;2015;Ar Condicionado;19/07/2015 16:15;19/07/2015 18:00; 1.74 ;1/1;1.022662037;1
A;2015;Ar Condicionado;02/10/2015 11:57;02/10/2015 12:50; 0.88 ;14/3;74.74831019;75
A;2016;Ar Condicionado;14/04/2016 04:18;14/04/2016 06:57; 2.66 ;12/7;194.6440162;195
A;2016;Ar Condicionado;14/07/2016 14:23;14/07/2016 14:46; 0.39 ;31/3;91.30921296;91
A;2016;Ar Condicionado;11/10/2016 11:40;11/10/2016 12:27; 0.79 ;28/3;88.87074074;89
A;2016;Ar Condicionado;22/10/2016 16:04;22/10/2016 17:05; 1.02 ;11/1;11.15092593;11
A;2017;Ar Condicionado;04/04/2017 07:11;04/04/2017 08:24; 1.22 ;11/6;163.5869097;164
A;2017;Ar Condicionado;08/06/2017 16:48;08/06/2017 17:40; 0.87 ;5/3;65.34991898;65
A;2017;Ar Condicionado;07/09/2017 21:36;07/09/2017 22:04; 0.47 ;31/3;91.16386574;91
B;2015;Ar Condicionado;22/08/2015 13:45;22/08/2015 15:50; 2.08 ;FALSE;;
B;2015;Ar Condicionado;22/09/2015 18:29;22/09/2015 19:31; 1.03 ;31/1;31.11038194;31
B;2015;Ar Condicionado;10/10/2015 00:39;10/10/2015 03:00; 2.35 ;17/1;17.21394676;17
B;2016;Ar Condicionado;16/04/2016 09:39;16/04/2016 11:07; 1.46 ;7/7;189.2772569;189
B;2016;Ar Condicionado;05/08/2016 16:07;05/08/2016 17:42; 1.59 ;20/4;111.2082755;111
B;2017;Ar Condicionado;11/04/2017 22:35;11/04/2017 22:48; 0.20 ;5/9;249.2034606;249
B;2017;Ar Condicionado;12/04/2017 03:28;12/04/2017 04:59; 1.52 ;0/1;0.194641204;1
B;2017;Ar Condicionado;25/05/2017 08:45;25/05/2017 09:10; 0.42 ;12/2;43.15670139;43
B;2017;Ar Condicionado;12/06/2017 13:34;12/06/2017 18:05; 4.51 ;18/1;18.18331019;18
B;2017;Ar Condicionado;18/06/2017 15:55;18/06/2017 17:08; 1.20 ;5/1;5.910046296;6
B;2017;Ar Condicionado;09/07/2017 20:22;09/07/2017 21:05; 0.72 ;21/1;21.13480324;21
B;2017;Ar Condicionado;10/07/2017 13:26;10/07/2017 14:24; 0.97 ;0/1;0.681782407;1
B;2017;Ar Condicionado;07/08/2017 11:22;07/08/2017 12:25; 1.05 ;27/1;27.87303241;28
A;2015;Cabine;28/08/2015 04:36;29/08/2015 14:48; 34.20 ;FALSE;;
A;2016;Cabine;04/09/2016 22:39;05/09/2016 01:27; 2.80 ;6/1;372.326875;372
A;2016;Cabine;08/10/2016 00:25;08/10/2016 02:16; 1.85 ;1/2;32.95722222;33
A;2016;Cabine;11/10/2016 13:37;11/10/2016 18:00; 4.39 ;3/1;3.472881944;3
A;2017;Cabine;23/08/2017 15:51;23/08/2017 16:40; 0.82 ;10/11;315.9101042;316
B;2015;Cabine;20/04/2015 22:45;21/04/2015 00:41; 1.93 ;FALSE;;
B;2015;Cabine;18/05/2015 16:07;18/05/2015 16:17; 0.17 ;27/1;27.64351852;28
B;2015;Cabine;19/05/2015 11:01;19/05/2015 11:12; 0.19 ;0/1;0.780185185;1
B;2015;Cabine;15/09/2015 10:38;15/09/2015 10:44; 0.09 ;27/4;118.9764931;119
B;2017;Cabine;02/06/2017 19:32;02/06/2017 20:49; 1.28 ;17/9;626.3670486;626
A;2015;Caixa de Bomba;24/10/2015 00:13;24/10/2015 01:09; 0.93 ;FALSE;;
A;2015;Caixa de Bomba;24/10/2015 22:46;25/10/2015 00:16; 1.50 ;0/1;0.900347222;1
A;2015;Caixa de Bomba;29/11/2015 17:31;01/12/2015 20:48; 51.27 ;4/2;35.71907407;36
A;2016;Caixa de Bomba;12/04/2016 07:08;12/04/2016 08:14; 1.09 ;11/5;132.4307639;132
A;2016;Caixa de Bomba;13/04/2016 04:56;13/04/2016 06:07; 1.18 ;0/1;0.862789352;1
A;2016;Caixa de Bomba;22/04/2016 23:54;23/04/2016 02:08; 2.23 ;9/1;9.741354167;11
A;2016;Caixa de Bomba;06/05/2016 15:16;06/05/2016 21:13; 5.95 ;13/1;13.54712963;14
A;2016;Caixa de Bomba;21/06/2016 16:49;21/06/2016 17:07; 0.29 ;14/2;45.81702546;46
A;2016;Caixa de Bomba;22/06/2016 00:12;22/06/2016 00:48; 0.60 ;0/1;0.295648148;1
A;2017;Caixa de Bomba;15/06/2017 21:38;15/06/2017 22:50; 1.21 ;23/12;358.8676852;359
A;2017;Caixa de Bomba;21/08/2017 09:54;21/08/2017 11:27; 1.55 ;6/3;66.46071759;66
B;2015;Caixa de Bomba;14/10/2015 11:25;14/10/2015 13:17; 1.87 ;FALSE;;
B;2015;Caixa de Bomba;29/10/2015 13:01;29/10/2015 15:40; 2.65 ;14/1;14.98917824;15
